blades,cost,delivery,sglCost,url
15,60,0,4,https://www.gillette.co.uk/kingcgillette/double-edge-safety-razor/12551969.html
30,56.6,0,1.8866666666666667,https://www.gillette.co.uk/kingcgillette/double-edge-razor-safety-kit/12560273.html
30,50,0,1.6666666666666667,https://www.gillette.co.uk/kingcgillette/double-edge-razor-handle-15-blades/12595728.html
200,80,0,0.4,https://www.gillette.co.uk/kingcgillette/double-edge-safety-razor-blades/13148218.html
5,13.35,0,2.67,https://www.amazon.co.uk/dp/B089MH9VK6
10,5,0,0.5,https://www.boots.com/king-c-gillette-double-edge-blades-10283842
10,29.985,0,2.9985,https://www.superdrug.com/p/804589
2,29.98,0,14.99,https://www.shavers.co.uk/shop-for-brands/king-c-gillette/king-c-gillette-81723174-double-edge-razor.html
10,39.98,0,3.9979999999999998,https://www.shavers.co.uk/shop-for-brands/king-c-gillette/king-c-gillette-gstogil091-safety-shaving-gift-set.html
50,25,0,0.5,https://www.shavers.co.uk/shop-for-brands/king-c-gillette/king-c-gillette-80725519-pack-of-10-double-edge-razor-blades.html
10,4.9,12.9,1.78,https://www.ohfeliz.co.uk/gillette/king-c-gillette-system-blades-for-safety-razors-10-series
10,4.75,7.9,1.2650000000000001,https://www.labelhair.co.uk/gillette/king-c-gillette-system-blades-for-safety-razors-10-series
10,8.99,0,0.899,https://www.onbuy.com/gb/p/king-c-gillette-mens-double-edge-safety-razor-blades-pack-of-10s-tainless-steel-blades-long-lasting-durability~p107540857
100,101.5,0,1.015,https://brandlistry.com/products/mens-double-edge-safety-razor-blades10-refills
180,89.82,0,0.49899999999999994,https://www.mifarma.co.uk/gillette-king-c-double-edge-machine-replacement-10-units
10,9,0,0.9,https://onebioshop.com/en/products/gillette-king-double-edge-razor-blades
